invoice_id,customer_id,invoice_date,due_date,fiscal_quarter,invoice_amount,amount_paid,status,paid_date
INV-00045,CUST-020,2020-08-20,2020-09-20,2020-Q3,4085.75,0,Unpaid,
INV-00046,CUST-005,2020-07-27,2020-08-27,2020-Q3,7781.89,0,Unpaid,
INV-00047,CUST-007,2020-08-10,2020-09-10,2020-Q3,4258.53,4258.53,Paid,2020-09-15
INV-00048,CUST-005,2020-09-11,2020-10-11,2020-Q3,3925.73,3925.73,Paid,2020-10-02
INV-00049,CUST-013,2020-08-04,2020-09-04,2020-Q3,7999.24,7999.24,Paid,2020-09-07
INV-00050,CUST-016,2020-07-19,2020-08-19,2020-Q3,1589.1,1589.1,Paid,2020-08-08
INV-00051,CUST-003,2020-08-28,2020-09-28,2020-Q3,3210.63,3210.63,Paid,2020-09-14
INV-00052,CUST-007,2020-09-07,2020-10-07,2020-Q3,1253,1253,Paid,2020-10-09
INV-00053,CUST-006,2020-08-21,2020-09-21,2020-Q3,2184.72,2184.72,Paid,2020-09-10
INV-00054,CUST-017,2020-09-11,2020-10-11,2020-Q3,1861.06,1861.06,Paid,2020-10-06
INV-00055,CUST-015,2020-07-28,2020-08-28,2020-Q3,1836.26,1836.26,Paid,2020-08-24
INV-00056,CUST-014,2020-08-12,2020-09-12,2020-Q3,7428.62,7428.62,Paid,2020-09-19
INV-00057,CUST-022,2020-09-28,2020-10-28,2020-Q3,7458.86,2127.73,Partial,
INV-00058,CUST-011,2020-08-08,2020-09-08,2020-Q3,2228.54,2228.54,Paid,2020-09-28
INV-00059,CUST-014,2020-07-20,2020-08-20,2020-Q3,3929.95,3929.95,Paid,2020-08-24
INV-00060,CUST-010,2020-07-24,2020-08-24,2020-Q3,7256.95,7256.95,Paid,2020-08-16
INV-00061,CUST-013,2020-07-05,2020-08-05,2020-Q3,3985.13,3985.13,Paid,2020-08-17
INV-00062,CUST-004,2020-07-20,2020-08-20,2020-Q3,2897.31,2897.31,Paid,2020-08-27
INV-00063,CUST-001,2020-07-04,2020-08-04,2020-Q3,2523.33,0,Unpaid,
INV-00064,CUST-014,2020-08-27,2020-09-27,2020-Q3,7835.13,7835.13,Paid,2020-09-07
INV-00065,CUST-017,2020-07-16,2020-08-16,2020-Q3,544.64,544.64,Paid,2020-08-12
INV-00066,CUST-015,2020-09-02,2020-10-02,2020-Q3,5311.16,5311.16,Paid,2020-10-03
INV-00067,CUST-011,2020-07-16,2020-08-16,2020-Q3,492.79,0,Unpaid,
INV-00068,CUST-013,2020-08-27,2020-09-27,2020-Q3,8002.9,0,Unpaid,
INV-00069,CUST-013,2020-10-25,2020-11-25,2020-Q4,6662.21,6662.21,Paid,2020-11-20
INV-00070,CUST-011,2020-10-08,2020-11-08,2020-Q4,4201.82,3106.16,Partial,
INV-00071,CUST-004,2020-11-21,2020-12-21,2020-Q4,491.64,491.64,Paid,2020-12-01
INV-00072,CUST-018,2020-12-15,2021-01-15,2020-Q4,7383.61,7383.61,Paid,2020-01-07
INV-00073,CUST-011,2020-10-13,2020-11-13,2020-Q4,2705.29,0,Unpaid,
INV-00074,CUST-018,2020-10-18,2020-11-18,2020-Q4,4121.05,4121.05,Paid,2020-11-04
INV-00075,CUST-001,2020-11-20,2020-12-20,2020-Q4,8130.94,8130.94,Paid,2020-12-24
INV-00076,CUST-017,2020-12-02,2021-01-02,2020-Q4,7590.5,7590.5,Paid,2020-01-05
INV-00077,CUST-018,2020-11-10,2020-12-10,2020-Q4,7305.93,3703.19,Partial,
INV-00078,CUST-007,2020-11-18,2020-12-18,2020-Q4,5166.38,5166.38,Paid,2020-12-14
INV-00079,CUST-017,2020-10-20,2020-11-20,2020-Q4,7944.93,7944.93,Paid,2020-11-07
INV-00080,CUST-022,2020-10-27,2020-11-27,2020-Q4,6838.34,6838.34,Paid,2020-11-07
INV-00081,CUST-014,2020-11-28,2020-12-28,2020-Q4,727.33,727.33,Paid,2020-12-06
INV-00082,CUST-015,2020-10-25,2020-11-25,2020-Q4,4756.66,4756.66,Paid,2020-11-10
INV-00083,CUST-009,2020-11-25,2020-12-25,2020-Q4,5835.74,5835.74,Paid,2020-12-14
INV-00084,CUST-019,2020-10-14,2020-11-14,2020-Q4,5993.08,5993.08,Paid,2020-11-28
INV-00085,CUST-002,2020-11-26,2020-12-26,2020-Q4,6091.65,0,Unpaid,
INV-00086,CUST-011,2020-10-19,2020-11-19,2020-Q4,4607,0,Unpaid,
INV-00087,CUST-022,2020-12-13,2021-01-13,2020-Q4,1912.84,1912.84,Paid,2020-01-06
INV-00088,CUST-020,2020-10-18,2020-11-18,2020-Q4,5735.39,0,Unpaid,
INV-00089,CUST-006,2020-11-09,2020-12-09,2020-Q4,2064.7,2064.7,Paid,2020-12-16
INV-00090,CUST-004,2020-10-24,2020-11-24,2020-Q4,5181.82,5181.82,Paid,2020-11-14
INV-00091,CUST-003,2020-10-18,2020-11-18,2020-Q4,1368.89,1368.89,Paid,2020-11-01
INV-00092,CUST-009,2020-10-05,2020-11-05,2020-Q4,6079.47,6079.47,Paid,2020-11-25
INV-00093,CUST-021,2020-12-03,2021-01-03,2020-Q4,640.64,640.64,Paid,2020-01-12
INV-00094,CUST-011,2020-10-25,2020-11-25,2020-Q4,7346.84,7346.84,Paid,2020-11-02
INV-00095,CUST-012,2020-10-28,2020-11-28,2020-Q4,908.82,908.82,Paid,2020-11-17
INV-00096,CUST-021,2020-12-28,2021-01-28,2020-Q4,2915.08,2915.08,Paid,2020-01-02
INV-00097,CUST-013,2020-10-20,2020-11-20,2020-Q4,6593.61,6593.61,Paid,2020-11-27
INV-00098,CUST-008,2020-10-23,2020-11-23,2020-Q4,4905.32,4905.32,Paid,2020-11-05
INV-00099,CUST-007,2020-10-11,2020-11-11,2020-Q4,4285.66,4285.66,Paid,2020-11-06
INV-00100,CUST-018,2020-10-09,2020-11-09,2020-Q4,7140.86,7140.86,Paid,2020-11-21
INV-00101,CUST-005,2020-12-14,2021-01-14,2020-Q4,5334.6,5334.6,Paid,2020-01-17
INV-00102,CUST-022,2020-10-24,2020-11-24,2020-Q4,3197.92,3197.92,Paid,2020-11-17
