transaction_id,transaction_date,fiscal_quarter,account_id,amount,description
TXN-00105,2020-05-23,2020-Q2,OPEX-600,81.09,Office supplies order
TXN-00015,2020-05-24,2020-Q2,REV-100,6566.66,Online order
TXN-00106,2020-05-24,2020-Q2,OPEX-600,87.67,Office supplies order
TXN-00011,2020-05-25,2020-Q2,REV-100,4031.03,Online order
TXN-00045,2020-05-25,2020-Q2,COGS-100,2139.23,Inventory purchase
TXN-00089,2020-05-27,2020-Q2,OPEX-100,1210.86,Social ad campaign
TXN-00109,2020-06-01,2020-Q2,OEXP-100,929.47,Bank fee
TXN-00012,2020-06-02,2020-Q2,REV-100,4689.09,Product sales
TXN-00066,2020-06-02,2020-Q2,COGS-300,243.18,Payment gateway fee
TXN-00088,2020-06-04,2020-Q2,OPEX-100,932.13,Social ad campaign
TXN-00019,2020-06-05,2020-Q2,REV-100,4255.39,Service revenue
TXN-00063,2020-06-07,2020-Q2,COGS-300,123.79,Card processing fee
TXN-00040,2020-06-09,2020-Q2,COGS-100,944.16,Materials cost
TXN-00046,2020-06-12,2020-Q2,COGS-100,2341.13,Materials cost
TXN-00049,2020-06-12,2020-Q2,COGS-200,754.87,Freight invoice
TXN-00006,2020-06-13,2020-Q2,REV-100,5833.45,Product sales
TXN-00008,2020-06-13,2020-Q2,REV-100,3202.28,Product sales
TXN-00007,2020-06-15,2020-Q2,REV-100,8514.54,Online order
TXN-00059,2020-06-15,2020-Q2,COGS-200,658.77,Freight invoice
TXN-00034,2020-06-16,2020-Q2,COGS-100,1682.68,Supplier invoice
TXN-00041,2020-06-16,2020-Q2,COGS-100,1348.66,Supplier invoice
TXN-00047,2020-06-16,2020-Q2,COGS-200,735.39,Freight invoice
TXN-00092,2020-06-16,2020-Q2,OPEX-100,882.49,Sponsored listing fee
TXN-00018,2020-06-18,2020-Q2,REV-100,7916.06,Product sales
TXN-00030,2020-06-19,2020-Q2,COGS-100,1863.34,Supplier invoice
TXN-00093,2020-06-19,2020-Q2,OPEX-100,811.46,Social ad campaign
TXN-00098,2020-06-19,2020-Q2,OPEX-200,9366.99,Payroll run
TXN-00017,2020-06-20,2020-Q2,REV-100,4311.75,Service revenue
TXN-00039,2020-06-20,2020-Q2,COGS-100,1311.32,Materials cost
TXN-00053,2020-06-20,2020-Q2,COGS-200,813.74,Carrier charge
TXN-00096,2020-06-20,2020-Q2,OPEX-200,15067.28,Contractor payment
TXN-00043,2020-06-22,2020-Q2,COGS-100,1127.85,Inventory purchase
TXN-00025,2020-06-23,2020-Q2,REV-100,4242.51,Online order
TXN-00095,2020-06-23,2020-Q2,OPEX-100,785.42,Ad platform spend
TXN-00075,2020-06-24,2020-Q2,COGS-300,98.79,Card processing fee
TXN-00056,2020-06-25,2020-Q2,COGS-200,605.92,Freight invoice
TXN-00061,2020-06-26,2020-Q2,COGS-200,741.68,Carrier charge
TXN-00021,2020-06-27,2020-Q2,REV-100,6081.43,Online order
TXN-00014,2020-06-28,2020-Q2,REV-100,4841.53,Online order
TXN-00094,2020-06-28,2020-Q2,OPEX-100,759.62,Social ad campaign
TXN-00129,2020-07-01,2020-Q3,REV-100,6015.64,Product sales
TXN-00167,2020-07-01,2020-Q3,COGS-200,760.89,Packaging & postage
TXN-00221,2020-07-01,2020-Q3,OEXP-100,900.24,Professional services
TXN-00146,2020-07-02,2020-Q3,COGS-100,855.03,Inventory purchase
TXN-00184,2020-07-02,2020-Q3,COGS-300,158.48,Payment gateway fee
TXN-00196,2020-07-02,2020-Q3,COGS-300,204.26,Payment gateway fee
TXN-00199,2020-07-02,2020-Q3,OPEX-100,1063.71,Social ad campaign
TXN-00151,2020-07-04,2020-Q3,COGS-100,2163.6,Supplier invoice
TXN-00197,2020-07-04,2020-Q3,COGS-300,200.33,Payment gateway fee
TXN-00135,2020-07-06,2020-Q3,REV-100,5373.99,Service revenue
TXN-00138,2020-07-07,2020-Q3,COGS-100,2521.33,Supplier invoice
TXN-00198,2020-07-07,2020-Q3,COGS-300,138.09,Card processing fee
TXN-00212,2020-07-07,2020-Q3,OPEX-300,1233.43,Internet service
TXN-00222,2020-07-08,2020-Q3,TAX-100,4800,Estimated tax payment
TXN-00120,2020-07-09,2020-Q3,REV-100,5334.98,Online order
TXN-00210,2020-07-09,2020-Q3,OPEX-300,539.48,Internet service
TXN-00216,2020-07-10,2020-Q3,OPEX-600,98.49,Office supplies order
TXN-00170,2020-07-11,2020-Q3,COGS-200,824.73,Carrier charge
TXN-00157,2020-07-12,2020-Q3,COGS-100,2828.34,Inventory purchase
TXN-00145,2020-07-13,2020-Q3,COGS-100,1178.1,Inventory purchase
TXN-00119,2020-07-15,2020-Q3,REV-100,5546.45,Service revenue
TXN-00154,2020-07-18,2020-Q3,COGS-100,2342.46,Supplier invoice
TXN-00171,2020-07-18,2020-Q3,COGS-200,391.37,Freight invoice
TXN-00201,2020-07-18,2020-Q3,OPEX-100,857.75,Sponsored listing fee
TXN-00219,2020-07-18,2020-Q3,OEXP-100,448.5,Misc. expense
TXN-00128,2020-07-20,2020-Q3,REV-100,2708.19,Service revenue
TXN-00183,2020-07-20,2020-Q3,COGS-300,95.15,Card processing fee
TXN-00185,2020-07-21,2020-Q3,COGS-300,158.87,Payment gateway fee
TXN-00153,2020-07-22,2020-Q3,COGS-100,1995.77,Materials cost
TXN-00155,2020-07-24,2020-Q3,COGS-100,1992.48,Inventory purchase
TXN-00159,2020-07-24,2020-Q3,COGS-200,495.86,Packaging & postage
TXN-00202,2020-07-25,2020-Q3,OPEX-100,973.18,Social ad campaign
TXN-00168,2020-07-26,2020-Q3,COGS-200,884.53,Freight invoice
TXN-00161,2020-07-27,2020-Q3,COGS-200,875.41,Packaging & postage
TXN-00180,2020-07-27,2020-Q3,COGS-300,73.52,Payment gateway fee
TXN-00115,2020-07-28,2020-Q3,REV-100,3072.85,Service revenue
TXN-00208,2020-08-02,2020-Q3,OPEX-200,7260.4,Payroll run
TXN-00162,2020-08-03,2020-Q3,COGS-200,742.53,Freight invoice
TXN-00165,2020-08-03,2020-Q3,COGS-200,353.59,Carrier charge
TXN-00152,2020-08-04,2020-Q3,COGS-100,3041.66,Supplier invoice
TXN-00137,2020-08-05,2020-Q3,REV-100,5777.67,Service revenue
TXN-00192,2020-08-06,2020-Q3,COGS-300,69.8,Payment gateway fee
TXN-00211,2020-08-07,2020-Q3,OPEX-300,427.1,Phone bill
TXN-00130,2020-08-08,2020-Q3,REV-100,6161.6,Product sales
TXN-00182,2020-08-08,2020-Q3,COGS-300,89.78,Card processing fee
TXN-00121,2020-08-09,2020-Q3,REV-100,6846.11,Service revenue
TXN-00181,2020-08-09,2020-Q3,COGS-300,214.51,Card processing fee
TXN-00187,2020-08-09,2020-Q3,COGS-300,128.14,Payment gateway fee
TXN-00191,2020-08-09,2020-Q3,COGS-300,178.35,Payment gateway fee
TXN-00133,2020-08-10,2020-Q3,REV-100,7379.85,Service revenue
TXN-00140,2020-08-10,2020-Q3,COGS-100,1715.66,Materials cost
TXN-00186,2020-08-10,2020-Q3,COGS-300,150.39,Payment gateway fee
TXN-00148,2020-08-11,2020-Q3,COGS-100,994.98,Supplier invoice
TXN-00189,2020-08-11,2020-Q3,COGS-300,115.58,Payment gateway fee
TXN-00195,2020-08-11,2020-Q3,COGS-300,165.56,Payment gateway fee
TXN-00127,2020-08-12,2020-Q3,REV-100,3051.65,Product sales
TXN-00144,2020-08-12,2020-Q3,COGS-100,2106.11,Supplier invoice
TXN-00174,2020-08-12,2020-Q3,COGS-300,171.66,Card processing fee
TXN-00122,2020-08-13,2020-Q3,REV-100,5279.58,Product sales
TXN-00134,2020-08-14,2020-Q3,REV-100,4418.28,Online order
TXN-00143,2020-08-15,2020-Q3,COGS-100,2868.99,Supplier invoice
TXN-00126,2020-08-17,2020-Q3,REV-100,5339.79,Service revenue
TXN-00214,2020-08-17,2020-Q3,OPEX-400,1315.99,Hosting fee
TXN-00203,2020-08-18,2020-Q3,OPEX-100,934.32,Sponsored listing fee
TXN-00141,2020-08-19,2020-Q3,COGS-100,1647.91,Supplier invoice
TXN-00172,2020-08-19,2020-Q3,COGS-200,702.5,Freight invoice
TXN-00131,2020-08-20,2020-Q3,REV-100,3556.49,Product sales
TXN-00139,2020-08-20,2020-Q3,COGS-100,2958.62,Materials cost
TXN-00147,2020-08-22,2020-Q3,COGS-100,2766.01,Materials cost
TXN-00178,2020-08-23,2020-Q3,COGS-300,94.04,Card processing fee
TXN-00158,2020-08-24,2020-Q3,COGS-200,550.82,Carrier charge
TXN-00220,2020-08-24,2020-Q3,OEXP-100,1251.26,Professional services
TXN-00124,2020-08-25,2020-Q3,REV-100,5326.79,Service revenue
TXN-00177,2020-08-25,2020-Q3,COGS-300,192.49,Card processing fee
TXN-00113,2020-08-26,2020-Q3,REV-100,6701.6,Service revenue
TXN-00123,2020-08-26,2020-Q3,REV-100,4326.27,Service revenue
TXN-00117,2020-08-28,2020-Q3,REV-100,5699.63,Product sales
TXN-00116,2020-09-01,2020-Q3,REV-100,6219.4,Service revenue
TXN-00205,2020-09-03,2020-Q3,OPEX-100,945.82,Social ad campaign
TXN-00217,2020-09-03,2020-Q3,OPEX-600,118.85,Office supplies order
TXN-00173,2020-09-05,2020-Q3,COGS-300,205.02,Card processing fee
TXN-00213,2020-09-05,2020-Q3,OPEX-400,1784.01,Website platform subscription
TXN-00114,2020-09-07,2020-Q3,REV-100,3925,Product sales
TXN-00118,2020-09-07,2020-Q3,REV-100,2215.4,Online order
TXN-00132,2020-09-07,2020-Q3,REV-100,7264.24,Product sales
TXN-00142,2020-09-07,2020-Q3,COGS-100,1151.58,Materials cost
TXN-00160,2020-09-07,2020-Q3,COGS-200,236.31,Carrier charge
TXN-00164,2020-09-07,2020-Q3,COGS-200,309.33,Freight invoice
TXN-00218,2020-09-08,2020-Q3,OPEX-600,65.86,Office supplies order
TXN-00150,2020-09-09,2020-Q3,COGS-100,1988.61,Materials cost
TXN-00190,2020-09-09,2020-Q3,COGS-300,128.55,Card processing fee
TXN-00179,2020-09-10,2020-Q3,COGS-300,127.93,Payment gateway fee
TXN-00204,2020-09-12,2020-Q3,OPEX-100,489.45,Social ad campaign
TXN-00207,2020-09-12,2020-Q3,OPEX-200,11732.9,Payroll run
TXN-00125,2020-09-13,2020-Q3,REV-100,4304.11,Service revenue
TXN-00149,2020-09-13,2020-Q3,COGS-100,2015.9,Materials cost
TXN-00156,2020-09-13,2020-Q3,COGS-100,2866.86,Materials cost
TXN-00193,2020-09-16,2020-Q3,COGS-300,161.16,Payment gateway fee
TXN-00188,2020-09-21,2020-Q3,COGS-300,124.56,Payment gateway fee
TXN-00163,2020-09-23,2020-Q3,COGS-200,380.44,Carrier charge
TXN-00215,2020-09-23,2020-Q3,OPEX-600,96.8,Office supplies order
TXN-00206,2020-09-24,2020-Q3,OPEX-100,570.38,Ad platform spend
TXN-00112,2020-09-25,2020-Q3,REV-100,4272.32,Online order
TXN-00136,2020-09-25,2020-Q3,REV-100,3882.13,Online order
TXN-00200,2020-09-25,2020-Q3,OPEX-100,665.4,Sponsored listing fee
TXN-00175,2020-09-26,2020-Q3,COGS-300,161.42,Card processing fee
TXN-00176,2020-09-26,2020-Q3,COGS-300,126.61,Card processing fee
TXN-00194,2020-09-26,2020-Q3,COGS-300,165.75,Payment gateway fee
TXN-00169,2020-09-27,2020-Q3,COGS-200,800.86,Packaging & postage
TXN-00209,2020-09-27,2020-Q3,OPEX-200,9006.7,Contractor payment
TXN-00166,2020-09-28,2020-Q3,COGS-200,690.84,Freight invoice
TXN-00230,2020-10-01,2020-Q4,REV-100,4773.61,Product sales
TXN-00317,2020-10-01,2020-Q4,OPEX-100,714.77,Social ad campaign
TXN-00271,2020-10-02,2020-Q4,COGS-200,371.81,Freight invoice
TXN-00245,2020-10-03,2020-Q4,REV-100,3324.79,Product sales
TXN-00282,2020-10-03,2020-Q4,COGS-200,535.41,Carrier charge
TXN-00324,2020-10-03,2020-Q4,OPEX-400,2283.55,Website platform subscription
TXN-00280,2020-10-05,2020-Q4,COGS-200,862.39,Carrier charge
TXN-00289,2020-10-06,2020-Q4,COGS-300,266.31,Payment gateway fee
TXN-00318,2020-10-06,2020-Q4,OPEX-200,14380.91,Payroll run
TXN-00320,2020-10-06,2020-Q4,OPEX-200,8375.08,Payroll run
TXN-00246,2020-10-07,2020-Q4,REV-100,6515.85,Online order
TXN-00251,2020-10-07,2020-Q4,COGS-100,2091.36,Materials cost
TXN-00308,2020-10-08,2020-Q4,COGS-300,87.59,Card processing fee
TXN-00311,2020-10-09,2020-Q4,OPEX-100,484.57,Ad platform spend
TXN-00329,2020-10-09,2020-Q4,OPEX-600,83.93,Office supplies order
TXN-00237,2020-10-12,2020-Q4,REV-100,2268.48,Product sales
TXN-00301,2020-10-13,2020-Q4,COGS-300,219.13,Card processing fee
TXN-00257,2020-10-14,2020-Q4,COGS-100,2530.4,Inventory purchase
TXN-00277,2020-10-14,2020-Q4,COGS-200,629.6,Carrier charge
TXN-00307,2020-10-14,2020-Q4,COGS-300,80.65,Card processing fee
TXN-00241,2020-10-15,2020-Q4,REV-100,7516.37,Online order
TXN-00248,2020-10-15,2020-Q4,REV-100,3655.73,Product sales
TXN-00263,2020-10-16,2020-Q4,COGS-100,1454.53,Inventory purchase
TXN-00305,2020-10-16,2020-Q4,COGS-300,257.63,Card processing fee
TXN-00234,2020-10-17,2020-Q4,REV-100,6855.93,Online order
TXN-00243,2020-10-18,2020-Q4,REV-100,6097.85,Service revenue
TXN-00244,2020-10-18,2020-Q4,REV-100,7567.84,Online order
TXN-00326,2020-10-20,2020-Q4,OPEX-600,82.93,Office supplies order
TXN-00228,2020-10-21,2020-Q4,REV-100,6157.02,Product sales
TXN-00281,2020-10-22,2020-Q4,COGS-200,462.96,Carrier charge
TXN-00296,2020-10-22,2020-Q4,COGS-300,213.84,Payment gateway fee
TXN-00295,2020-10-23,2020-Q4,COGS-300,105.47,Payment gateway fee
TXN-00264,2020-10-24,2020-Q4,COGS-100,1419.21,Inventory purchase
TXN-00272,2020-10-24,2020-Q4,COGS-200,369.72,Packaging & postage
TXN-00291,2020-10-26,2020-Q4,COGS-300,84.09,Card processing fee
TXN-00333,2020-10-26,2020-Q4,TAX-100,5025.6,Estimated tax payment
TXN-00231,2020-10-27,2020-Q4,REV-100,6878.54,Online order
TXN-00309,2020-10-28,2020-Q4,COGS-300,261.89,Card processing fee
TXN-00227,2020-11-02,2020-Q4,REV-100,6138.74,Service revenue
TXN-00249,2020-11-02,2020-Q4,COGS-100,2624.37,Materials cost
TXN-00273,2020-11-02,2020-Q4,COGS-200,325.37,Packaging & postage
TXN-00294,2020-11-02,2020-Q4,COGS-300,74.12,Card processing fee
TXN-00327,2020-11-04,2020-Q4,OPEX-600,57.82,Office supplies order
TXN-00288,2020-11-08,2020-Q4,COGS-300,84.34,Payment gateway fee
TXN-00313,2020-11-08,2020-Q4,OPEX-100,736.53,Ad platform spend
TXN-00260,2020-11-09,2020-Q4,COGS-100,2268.6,Inventory purchase
TXN-00232,2020-11-10,2020-Q4,REV-100,7187.84,Online order
TXN-00259,2020-11-10,2020-Q4,COGS-100,1230.41,Inventory purchase
TXN-00267,2020-11-11,2020-Q4,COGS-100,1728.96,Inventory purchase
TXN-00265,2020-11-12,2020-Q4,COGS-100,2091.36,Supplier invoice
TXN-00285,2020-11-12,2020-Q4,COGS-300,163.74,Card processing fee
TXN-00292,2020-11-12,2020-Q4,COGS-300,99.54,Card processing fee
TXN-00258,2020-11-13,2020-Q4,COGS-100,1156.35,Inventory purchase
TXN-00283,2020-11-13,2020-Q4,COGS-200,948.84,Carrier charge
TXN-00266,2020-11-14,2020-Q4,COGS-100,1892.71,Supplier invoice
TXN-00223,2020-11-18,2020-Q4,REV-100,4594.67,Online order
TXN-00253,2020-11-18,2020-Q4,COGS-100,2231.35,Inventory purchase
TXN-00274,2020-11-18,2020-Q4,COGS-200,889.6,Carrier charge
TXN-00256,2020-11-19,2020-Q4,COGS-100,2168.21,Materials cost
TXN-00322,2020-11-20,2020-Q4,OPEX-300,507.35,Phone bill
TXN-00328,2020-11-20,2020-Q4,OPEX-600,149.62,Office supplies order
TXN-00314,2020-11-21,2020-Q4,OPEX-100,841.44,Ad platform spend
TXN-00275,2020-11-23,2020-Q4,COGS-200,748.43,Packaging & postage
TXN-00242,2020-11-24,2020-Q4,REV-100,7515.89,Product sales
TXN-00316,2020-11-25,2020-Q4,OPEX-100,1229,Sponsored listing fee
TXN-00226,2020-11-26,2020-Q4,REV-100,5521.11,Service revenue
TXN-00270,2020-11-26,2020-Q4,COGS-200,696.64,Carrier charge
TXN-00284,2020-11-28,2020-Q4,COGS-300,261.05,Card processing fee
TXN-00293,2020-11-28,2020-Q4,COGS-300,83.16,Payment gateway fee
TXN-00261,2020-12-02,2020-Q4,COGS-100,3364.16,Materials cost
TXN-00319,2020-12-03,2020-Q4,OPEX-200,6812.01,Payroll run
TXN-00250,2020-12-04,2020-Q4,COGS-100,2070.17,Inventory purchase
TXN-00332,2020-12-04,2020-Q4,OEXP-100,978.16,Professional services
TXN-00238,2020-12-05,2020-Q4,REV-100,4847.69,Service revenue
TXN-00254,2020-12-06,2020-Q4,COGS-100,1018.07,Supplier invoice
TXN-00321,2020-12-06,2020-Q4,OPEX-300,1112.93,Internet service
TXN-00331,2020-12-06,2020-Q4,OEXP-100,1261,Bank fee
TXN-00229,2020-12-07,2020-Q4,REV-100,7488.95,Online order
TXN-00233,2020-12-07,2020-Q4,REV-100,5985.29,Product sales
TXN-00303,2020-12-08,2020-Q4,COGS-300,100.33,Card processing fee
TXN-00276,2020-12-09,2020-Q4,COGS-200,583.82,Carrier charge
TXN-00239,2020-12-10,2020-Q4,REV-100,5515.34,Online order
TXN-00290,2020-12-11,2020-Q4,COGS-300,183.03,Payment gateway fee
TXN-00325,2020-12-11,2020-Q4,OPEX-400,943.55,Website platform subscription
TXN-00247,2020-12-12,2020-Q4,REV-100,2328.6,Service revenue
TXN-00299,2020-12-13,2020-Q4,COGS-300,109.45,Payment gateway fee
TXN-00297,2020-12-14,2020-Q4,COGS-300,211.47,Payment gateway fee
TXN-00255,2020-12-15,2020-Q4,COGS-100,3154.81,Materials cost
TXN-00323,2020-12-15,2020-Q4,OPEX-300,559.92,Phone bill
TXN-00278,2020-12-16,2020-Q4,COGS-200,445.39,Freight invoice
TXN-00304,2020-12-16,2020-Q4,COGS-300,156.47,Card processing fee
TXN-00310,2020-12-16,2020-Q4,OPEX-100,391.91,Sponsored listing fee
TXN-00330,2020-12-17,2020-Q4,OEXP-100,444.04,Misc. expense
TXN-00279,2020-12-18,2020-Q4,COGS-200,670.56,Packaging & postage
TXN-00262,2020-12-19,2020-Q4,COGS-100,1694.28,Materials cost
TXN-00286,2020-12-19,2020-Q4,COGS-300,162.16,Card processing fee
TXN-00224,2020-12-21,2020-Q4,REV-100,2681.19,Online order
TXN-00236,2020-12-21,2020-Q4,REV-100,3050.61,Product sales
TXN-00240,2020-12-21,2020-Q4,REV-100,3527.3,Product sales
TXN-00269,2020-12-21,2020-Q4,COGS-200,810.47,Carrier charge
TXN-00300,2020-12-22,2020-Q4,COGS-300,148.75,Payment gateway fee
TXN-00312,2020-12-22,2020-Q4,OPEX-100,1218.2,Social ad campaign
TXN-00225,2020-12-23,2020-Q4,REV-100,3574.92,Online order
TXN-00235,2020-12-23,2020-Q4,REV-100,4019.86,Online order
TXN-00252,2020-12-25,2020-Q4,COGS-100,3358.59,Materials cost
TXN-00298,2020-12-25,2020-Q4,COGS-300,144.29,Card processing fee
TXN-00268,2020-12-26,2020-Q4,COGS-100,2200.1,Supplier invoice
TXN-00287,2020-12-27,2020-Q4,COGS-300,142.85,Payment gateway fee
TXN-00302,2020-12-27,2020-Q4,COGS-300,90.63,Payment gateway fee
TXN-00306,2020-12-27,2020-Q4,COGS-300,148.6,Payment gateway fee
TXN-00315,2020-12-27,2020-Q4,OPEX-100,961.57,Ad platform spend
